"exposure","outcome","provider","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"HbA1c","HF","FinnGen",318,0.00213768288763103,0.0261139387354179,0.934758169003243,-0.096771477996499,0.032356252744628,0.0034390718598764,0.0076587199137213,-0.0138561031118628,0.686669407551855,535.215600862615,2.10135269527344e-13,TRUE,0
"HbA1c","HF","HERMES",307,0.0283725721989589,0.028510294113895,0.319653883222226,-0.048956442126311,0.337426186407919,0.00259246345645119,0.068546077270745,0.00378060507498613,0.921825152871478,504.141517654817,6.85064515621542e-12,TRUE,0
"HDL","HF","FinnGen",529,-0.095356709849076,0.0241643743971226,7.94115085362313e-05,0.0173176265607846,0.6042962241864,-0.00410801638782742,2.23168387783559e-06,-0.0110661092040535,0.739848016018011,902.829928644801,4.41225852749129e-22,TRUE,0
"HDL","HF","HERMES",461,-0.119845089162638,0.0289946519755556,3.57511272081472e-05,-0.00534529208975286,0.900920801119399,-0.00359636510006244,0.00037728976773336,-0.0333989149863545,0.431701102781208,819.11995033734,1.49880760532992e-22,TRUE,0
"LDL","HF","FinnGen",455,0.0304781129258978,0.0223969392977595,0.173571850243768,0.0354237527290735,0.223029548810775,-0.000261689676674056,0.788709071806953,0.00931559910232389,0.785822727419335,805.789957545407,4.99415194748631e-22,TRUE,0
"LDL","HF","HERMES",358,0.160379411674366,0.0309106669599406,2.12016261679985e-07,0.246238458659747,3.50851283905603e-07,-0.00287276088236654,0.0180471031455956,0.140348072405608,0.00124836435954771,593.159626611289,5.29581103750951e-14,TRUE,0
"SBP","HF","FinnGen",424,0.0212422084955732,0.00213590393889764,2.64372432292877e-23,0.0222045241011374,4.97336994296749e-05,-0.000320145542905745,0.846770858506943,0.019403674083201,6.97001916873144e-13,841.655131582995,5.29124341797109e-30,TRUE,0
"SBP","HF","HERMES",437,0.0193334441049999,0.00211599668179633,6.43260133664777e-20,0.0170051925741337,0.00166438943019432,0.000772030316782805,0.637617720350797,0.0219069616587994,5.41580976531083e-16,752.423272650895,3.27090053287703e-19,TRUE,0
"T2D","HF","FinnGen",115,0.0580408857221511,0.0165181865447776,0.000441817581501375,0.0609956992091765,0.127409480565101,-0.000234128442353656,0.934888205539298,0.0513255161489177,0.0336056442996731,209.898933927692,1.16411104620855e-07,TRUE,0
"T2D","HF","HERMES",116,0.0464191040275035,0.0178232750641914,0.00920327660359702,-0.0175195959731915,0.66682349109909,0.0051708505000723,0.0828649505561017,0.0147291313514223,0.583390227430188,221.037175977672,1.07334535132584e-08,TRUE,0
"TC","HF","FinnGen",507,0.0395642844757098,0.0209479989302772,0.0589333257493501,0.065908067860468,0.0175211668181077,-0.00125634855724492,0.145681749577974,0.0154256998898208,0.636395932788537,806.20794772855,4.07513648095899e-16,TRUE,0
"TC","HF","HERMES",413,0.11469958341176,0.0294068190649576,9.60173459686467e-05,0.237154052759704,1.32591766941934e-07,-0.00406567230755576,0.000271658794782895,0.105774425295077,0.0121927438193462,720.851065707937,3.49765954438794e-19,TRUE,0
"TG","HF","FinnGen",486,0.0653891087065479,0.0270628692436452,0.015683756087808,0.0291904070300455,0.451238903037409,0.00120033766249868,0.191986304030263,0.065093216067378,0.0965611955648678,837.223301905584,3.5805524498795e-21,TRUE,0
"TG","HF","HERMES",436,0.170001333667872,0.033168907655661,2.97029595862799e-07,0.0945966076080559,0.0659350608962765,0.00207558044882867,0.0552951230868675,0.189019446479036,0.000659703506707875,784.125230836648,2.33298189228307e-22,TRUE,0
"BMI","Stroke","MEGASTROKE",495,0.202219657812579,0.0301034317803849,1.8487488272332e-11,0.239847185621013,0.0027659712446716,-0.00066096188500834,0.61053452217077,0.184256037573771,0.000100771143300814,712.404928218719,3.92307572394307e-10,TRUE,0
"CAD","Stroke","MEGASTROKE",170,0.21648398844783,0.0242000790138913,3.69967547347446e-19,0.141804864045532,0.00421276635201682,0.00450951501995656,0.0810407397315934,0.212871674561493,7.88616120351757e-16,479.933200179373,1.42266193015899e-31,TRUE,0
"eGFR","Stroke","MEGASTROKE",325,-0.183306782376304,0.205387108773843,0.372128154847307,-0.350106500963327,0.444332767245657,0.000572484185573921,0.683151611298425,-0.503936079242278,0.0828619076511835,451.106344036406,3.66946904453008e-06,TRUE,0
"HbA1c","Stroke","MEGASTROKE",295,0.117448406442059,0.0279058431852658,2.56799975956943e-05,-0.0224922957028964,0.655174913962787,0.00455678437787054,0.00101953927652115,0.0525742082692863,0.194945714270775,514.712441910735,2.87454363360708e-14,TRUE,0
