edge,EUR_b,EUR_p,EAS_b,EAS_p,dir_concordant,both_sig
TC->eGFR,0.009,4.1e-06,0.064,4.2e-02,True,True
TG->BMI,0.068,1.1e-01,-0.062,1.3e-03,False,False
TG->CAD,0.393,6.2e-37,0.226,3.3e-06,True,True
TG->HDL,-0.598,1.6e-64,-0.470,2.9e-03,True,True
TG->HF,0.109,4.3e-06,0.002,9.6e-01,True,False
TG->HbA1c,0.102,4.5e-05,-0.047,2.4e-01,False,False
TG->LDL,0.277,1.8e-27,-0.115,2.5e-02,False,True
TG->Stroke,0.097,6.7e-05,0.031,4.1e-01,True,False
TG->T2D,0.594,1.1e-13,-0.053,4.2e-01,False,False
TG->TC,0.347,2.9e-39,0.123,4.8e-02,True,True
TG->eGFR,0.003,2.7e-01,0.023,4.2e-01,True,False
eGFR->BMI,-0.518,7.3e-04,-0.097,5.2e-03,True,True
eGFR->CAD,0.090,7.1e-01,-0.036,6.9e-01,False,False
eGFR->HDL,0.117,3.9e-01,0.176,7.2e-03,True,False
eGFR->HF,0.124,4.5e-01,0.016,8.5e-01,True,False
eGFR->HbA1c,-0.200,1.7e-01,-0.021,6.4e-01,True,False
eGFR->LDL,0.253,2.7e-01,-0.031,4.6e-01,False,False
eGFR->Stroke,-0.099,6.0e-01,0.155,6.4e-02,False,False
eGFR->T2D,0.398,2.4e-01,0.027,7.3e-01,True,False
eGFR->TC,0.274,2.1e-01,0.028,4.3e-01,True,False
eGFR->TG,0.011,9.5e-01,-0.011,8.6e-01,False,False
