exposure,outcome,nsnp,ivw_b,ivw_se,ivw_p,egger_b,egger_p,egger_intercept,egger_intercept_p,wm_b,wm_p,Q,Q_p,steiger_correct,steiger_p
HF,HbA1c,40,0.0894026251174698,0.0467936825601269,0.0560598104206984,0.296218407146284,0.0409374515410103,-0.00882159305417131,0.126068963653748,0.085215453784098,2.67676628386056e-05,941.548293693266,3.68917952405227e-172,FALSE,1.44151320234023e-72
HF,HDL,45,-0.1185301475043,0.0366681656487524,0.00122708598060699,0.129175556041977,0.230073160052585,-0.0106850743421028,0.0175347772802964,-0.0522358058254089,0.000129790641764415,1538.01429851203,8.5632952840866e-294,FALSE,0.0553736436281183
HF,LDL,45,0.278954724264333,0.138632215640768,0.0441996338267157,0.748846879590285,0.0830405919344186,-0.0202697677757036,0.245129139221587,0.0105244954125374,0.424561344515811,21747.6204747959,0,FALSE,1.00267898863056e-173
HF,SBP,44,1.55949241763721,0.663544056705219,0.0187609577198203,-1.7655939206751,0.378961004195856,0.141244779269427,0.0837370705219677,0.779108343165824,0.00755331856990671,988.216136008934,4.06121886703711e-179,FALSE,0.150301515182549
HF,Stroke,44,0.414386843906366,0.0689059104319885,1.8121628869299e-09,0.591619248562436,0.00714849083075812,-0.00775352942509506,0.374572502412685,0.301869694341269,1.00067834646123e-05,151.796944047843,4.69694549865303e-14,TRUE,1.05520093227005e-11
HF,T2D,45,0.344967991786173,0.110458736588559,0.00178988249579698,0.288757964876419,0.40517524225496,0.0023934612400799,0.863420455993859,0.284435615452461,4.07453319163811e-05,368.619947921941,7.50889361676924e-53,FALSE,0.00155080125011063
HF,TC,45,0.217577843840027,0.121656243208208,0.0737011357156341,0.679610295530139,0.0722794985473227,-0.019928797394022,0.191960944538576,-0.00589950352135002,0.652850722510626,18009.8551613577,0,FALSE,4.73035496273259e-167
HF,TG,45,0.0339146287913216,0.0256229601303963,0.185634903754964,-0.0871218185681273,0.263066316793936,0.00522048252016565,0.102759816195253,0.0443532361572809,0.00532918839533893,762.581088497977,8.51504182323075e-132,TRUE,3.43769229085995e-22
LDL,BMI,131,-0.0116179901655577,0.0220960401879413,0.599030563542613,-0.0367406077046811,0.380144253367198,0.000609074181488769,0.478707619826512,-0.0161960590874798,0.310898060121611,848.607571389038,7.34357883636185e-106,TRUE,0
LDL,CAD,358,0.603291175728615,0.0445764126505476,9.86942962033013e-42,0.717114405708835,1.7421044442262e-22,-0.0037926993742002,0.0303027740864072,0.556676912369948,2.69583271145229e-31,1047.87348468391,4.35359951236456e-69,TRUE,0
LDL,eGFR,127,0.00527479061677291,0.00840657832015259,0.530357827508356,0.0257917481664152,0.139836140514974,-0.000445877692693198,0.179571151524221,-0.00642446229304489,0.471720089773851,375.295613213374,1.34127644798345e-26,TRUE,0
LDL,HbA1c,379,0.0886106424884955,0.0333660013864829,0.00791401006715999,-0.0148696478250663,0.744868440554725,0.00437111805988245,0.00116206884357491,-0.002407382426317,0.820845579609352,17084.2057286655,0,FALSE,0.000104344053123397
LDL,HDL,531,-0.0757813267398154,0.0332561587822363,0.0226839787215857,-0.146106825852224,0.00131546056747567,0.00311422305803014,0.0228393794351892,-0.0938979487886998,1.98462799241242e-24,59546.7646946399,0,TRUE,0
LDL,HF,358,0.160379411674366,0.0309106669599406,2.12016261679985e-07,0.246238458659747,3.50851283905603e-07,-0.00287276088236654,0.0180471031455956,0.140348072405608,0.00159858379886463,593.159626611289,5.29581103750951e-14,TRUE,0
LDL,SBP,336,0.30072003062741,0.240516210621825,0.211186012075837,0.394400212192084,0.28056054119892,-0.00323807818815292,0.732784468337837,0.693156659214572,3.2383457366644e-05,2911.86462413807,0,TRUE,0
LDL,Stroke,333,0.0710676710593959,0.0299118535296633,0.0175060506305839,0.0866052264495488,0.0665289304415134,-0.000494339044626069,0.668739218917702,0.108085105533125,0.0109808858359588,559.24992482043,7.8203675211994e-14,TRUE,0
LDL,T2D,472,-0.0490215175281551,0.0332592658174639,0.140502966520282,-0.111620360147046,0.017552060872821,0.00255822902330011,0.0589361804026856,-0.0499979092650768,0.189554836674834,1296.28565252548,3.20352490876849e-78,TRUE,0
LDL,TC,532,0.908599802051038,0.0126661185989842,0,0.850067553145163,6.82145205648058e-204,0.00259235486206728,5.09560386955976e-07,0.867561679137114,0,9205.94397634168,0,TRUE,9.55710576319244e-16
LDL,TG,532,0.216913486098111,0.0303035876822929,8.18545675620584e-13,0.128591980062667,0.00181017013200537,0.0039173943711051,0.00164155137834665,0.0703181188064715,1.13116497316323e-14,50345.7450252814,0,TRUE,0
SBP,BMI,181,-0.0028862850272873,0.00154784131924478,0.0622211726711418,-0.0110684479155172,0.00315128377263399,0.00275804878737361,0.0161072970104606,-0.00228293586712518,0.0194369947649118,1983.22836157061,6.99899925315367e-301,TRUE,0
