"exposure","outcome","cross","direction","nsnp","prev_exp","prev_out","at_base","r2_exp","r2_out","correct_dir"
"CAD","T2D","True","backward",128,0.045,0.15,FALSE,0.0191612389029104,0.00347156061419133,TRUE
"CAD","T2D","True","backward",128,0.06,0.05,FALSE,0.0191700798073674,0.00347167166529807,TRUE
"CAD","T2D","True","backward",128,0.06,0.075,FALSE,0.0191700798073674,0.0034716469320475,TRUE
"CAD","T2D","True","backward",128,0.06,0.1,TRUE,0.0191700798073674,0.0034716201791139,TRUE
"CAD","T2D","True","backward",128,0.06,0.125,FALSE,0.0191700798073674,0.00347159140649569,TRUE
"CAD","T2D","True","backward",128,0.06,0.15,FALSE,0.0191700798073674,0.00347156061419133,TRUE
"CAD","T2D","True","backward",128,0.08,0.05,FALSE,0.0191818391384166,0.00347167166529807,TRUE
"CAD","T2D","True","backward",128,0.08,0.075,FALSE,0.0191818391384166,0.0034716469320475,TRUE
"CAD","T2D","True","backward",128,0.08,0.1,FALSE,0.0191818391384166,0.0034716201791139,TRUE
"CAD","T2D","True","backward",128,0.08,0.125,FALSE,0.0191818391384166,0.00347159140649569,TRUE
"CAD","T2D","True","backward",128,0.08,0.15,FALSE,0.0191818391384166,0.00347156061419133,TRUE
"CAD","T2D","True","backward",128,0.1,0.05,FALSE,0.0191935658511335,0.00347167166529807,TRUE
"CAD","T2D","True","backward",128,0.1,0.075,FALSE,0.0191935658511335,0.0034716469320475,TRUE
"CAD","T2D","True","backward",128,0.1,0.1,FALSE,0.0191935658511335,0.0034716201791139,TRUE
"CAD","T2D","True","backward",128,0.1,0.125,FALSE,0.0191935658511335,0.00347159140649569,TRUE
"CAD","T2D","True","backward",128,0.1,0.15,FALSE,0.0191935658511335,0.00347156061419133,TRUE
"HbA1c","CAD","True","forward",336,NA,0.03,FALSE,0.284237778745515,0.00332864439216612,TRUE
"HbA1c","CAD","True","forward",336,NA,0.045,FALSE,0.284237778745515,0.00332880906408777,TRUE
"HbA1c","CAD","True","forward",336,NA,0.06,TRUE,0.284237778745515,0.00332897345100379,TRUE
"HbA1c","CAD","True","forward",336,NA,0.08,FALSE,0.284237778745515,0.00332919219021642,TRUE
"HbA1c","CAD","True","forward",336,NA,0.1,FALSE,0.284237778745515,0.00332941042275247,TRUE
"HbA1c","Stroke","True","forward",289,NA,0.02,FALSE,0.24645458495622,0.00182165788306876,TRUE
"HbA1c","Stroke","True","forward",289,NA,0.035,FALSE,0.24645458495622,0.00182182322602882,TRUE
"HbA1c","Stroke","True","forward",289,NA,0.05,TRUE,0.24645458495622,0.00182198845192277,TRUE
"HbA1c","Stroke","True","forward",289,NA,0.065,FALSE,0.24645458495622,0.00182215356075066,TRUE
"HbA1c","Stroke","True","forward",289,NA,0.08,FALSE,0.24645458495622,0.0018223185525125,TRUE
"HbA1c","T2D","False","intra",198,NA,0.05,FALSE,0.166195421246669,0.022685535381152,TRUE
"HbA1c","T2D","False","intra",198,NA,0.075,FALSE,0.166195421246669,0.0226997167700734,TRUE
"HbA1c","T2D","False","intra",198,NA,0.1,TRUE,0.166195421246669,0.022713714713258,TRUE
"HbA1c","T2D","False","intra",198,NA,0.125,FALSE,0.166195421246669,0.0227275292287487,TRUE
"HbA1c","T2D","False","intra",198,NA,0.15,FALSE,0.166195421246669,0.0227411603344415,TRUE
"HDL","CAD","True","forward",557,NA,0.03,FALSE,0.0655245368237331,0.0076460502077804,TRUE
"HDL","CAD","True","forward",557,NA,0.045,FALSE,0.0655245368237331,0.00764836325093583,TRUE
"HDL","CAD","True","forward",557,NA,0.06,TRUE,0.0655245368237331,0.00765067524185519,TRUE
"HDL","CAD","True","forward",557,NA,0.08,FALSE,0.0655245368237331,0.00765375625960288,TRUE
"HDL","CAD","True","forward",557,NA,0.1,FALSE,0.0655245368237331,0.00765683540670919,TRUE
"HDL","HF","True","forward",476,NA,0.01,FALSE,0.0576556341275001,0.00300755903302651,TRUE
"HDL","HF","True","forward",476,NA,0.015,FALSE,0.0576556341275001,0.00300757827282594,TRUE
"HDL","HF","True","forward",476,NA,0.02,TRUE,0.0576556341275001,0.00300759750139928,TRUE
"HDL","HF","True","forward",476,NA,0.035,FALSE,0.0576556341275001,0.00300765511976274,TRUE
"HDL","HF","True","forward",476,NA,0.05,FALSE,0.0576556341275001,0.00300771263709137,TRUE
"HDL","Stroke","True","forward",448,NA,0.02,FALSE,0.0562655810442661,0.00278463955641402,TRUE
