exposure,outcome,b_eur_used,se_eur_used,b_eas,se_eas,z_raw,p_raw,z_absorbed,p_absorbed,sig_raw,sig_absorbed,global_slope,family_size,bonferroni
CAD,Stroke,0.171125,0.020433,-0.005629,0.049614,3.2942,9.871771e-04,1.5920,1.113900e-01,False,False,0.436049,67,7.462687e-04
T2D,TG,0.067513,0.023954,-0.018704,0.014507,3.0787,2.079106e-03,2.6932,7.077977e-03,False,False,0.436049,67,7.462687e-04
HDL,CAD,-0.305326,0.026902,-0.143863,0.047108,-2.9764,2.916845e-03,0.2209,8.251372e-01,False,False,0.436049,67,7.462687e-04
TG,CAD,0.392734,0.030933,0.226176,0.048605,2.8910,3.840638e-03,-1.0889,2.762091e-01,False,False,0.436049,67,7.462687e-04
TG,BMI,0.068047,0.042431,-0.061525,0.019186,2.7825,5.394502e-03,3.4215,6.227008e-04,False,True,0.436049,67,7.462687e-04
SBP,LDL,-0.039150,0.019081,-0.243767,0.071187,2.7764,5.497227e-03,3.1630,1.561637e-03,False,False,0.436049,67,7.462687e-04
HDL,HF,-0.123456,0.020223,-0.018083,0.032252,-2.7680,5.639605e-03,-1.0692,2.849759e-01,False,False,0.436049,67,7.462687e-04
HDL,TG,-0.512066,0.027077,-0.266835,0.086964,-2.6924,7.093453e-03,0.4962,6.197382e-01,False,False,0.436049,67,7.462687e-04
T2D,CAD,0.128975,0.022099,0.053520,0.017531,2.6749,7.474425e-03,0.1359,8.918718e-01,False,False,0.436049,67,7.462687e-04
SBP,Stroke,0.518453,0.034285,0.972974,0.169512,-2.6281,8.585493e-03,-4.3892,1.137892e-05,False,True,0.436049,67,7.462687e-04
SBP,TC,-0.028934,0.016835,-0.115269,0.028420,2.6137,8.957369e-03,3.4972,4.701769e-04,False,True,0.436049,67,7.462687e-04
LDL,HF,0.121469,0.020327,-0.010720,0.047213,2.5716,1.012218e-02,1.3258,1.849206e-01,False,False,0.436049,67,7.462687e-04
HDL,Stroke,-0.099880,0.021775,0.005408,0.038769,-2.3679,1.789154e-02,-1.2266,2.199629e-01,False,False,0.436049,67,7.462687e-04
TG,HF,0.109132,0.023749,0.002257,0.040417,2.2799,2.261641e-02,1.0865,2.772762e-01,False,False,0.436049,67,7.462687e-04
TC,BMI,-0.023094,0.024850,-0.101528,0.025227,2.2150,2.676181e-02,3.3311,8.650172e-04,False,False,0.436049,67,7.462687e-04
HDL,BMI,-0.068085,0.031953,0.011470,0.017739,-2.1768,2.949551e-02,-1.8247,6.805128e-02,False,False,0.436049,67,7.462687e-04
BMI,CAD,0.386981,0.027944,0.161933,0.101154,2.1445,3.199430e-02,0.0668,9.467127e-01,False,False,0.436049,67,7.462687e-04
TC,HF,0.089547,0.020312,-0.028410,0.055511,1.9955,4.598461e-02,1.2000,2.301319e-01,False,False,0.436049,67,7.462687e-04
CAD,TC,0.194064,0.041169,0.070018,0.049787,1.9201,5.484424e-02,0.2759,7.826036e-01,False,False,0.436049,67,7.462687e-04
SBP,TG,0.035323,0.018842,-0.056001,0.043895,1.9118,5.589934e-02,1.5989,1.098379e-01,False,False,0.436049,67,7.462687e-04
LDL,Stroke,0.070011,0.022656,-0.052161,0.059754,1.9118,5.590460e-02,1.3653,1.721608e-01,False,False,0.436049,67,7.462687e-04
SBP,BMI,-0.055705,0.029873,0.074422,0.062035,-1.8899,5.876805e-02,-1.5573,1.194061e-01,False,False,0.436049,67,7.462687e-04
LDL,BMI,-0.011618,0.022096,-0.068132,0.021032,1.8526,6.394097e-02,2.7261,6.408183e-03,False,False,0.436049,67,7.462687e-04
SBP,HDL,-0.020891,0.017666,0.267507,0.156086,-1.8360,6.636289e-02,-1.7701,7.671859e-02,False,False,0.436049,67,7.462687e-04
BMI,CKD,0.142900,0.028600,0.408100,0.144000,-1.8064,7.085844e-02,-2.3924,1.674064e-02,False,False,0.436049,67,7.462687e-04
CAD,LDL,0.246198,0.049986,0.088216,0.077606,1.7114,8.700485e-02,0.2374,8.123292e-01,False,False,0.436049,67,7.462687e-04
TC,TG,0.318252,0.026840,0.110687,0.126992,1.5991,1.097880e-01,0.2202,8.256896e-01,False,False,0.436049,67,7.462687e-04
TC,HDL,0.215228,0.034733,0.511199,0.186753,-1.5581,1.192077e-01,-2.2275,2.591705e-02,False,False,0.436049,67,7.462687e-04
BMI,HDL,-0.275173,0.016855,-0.193465,0.050230,-1.5422,1.230323e-01,1.4474,1.477897e-01,False,False,0.436049,67,7.462687e-04
TC,CAD,0.434009,0.031183,0.581680,0.094921,-1.4780,1.394043e-01,-4.0925,4.267218e-05,False,True,0.436049,67,7.462687e-04
TG,Stroke,0.097434,0.024443,0.031133,0.037767,1.4738,1.405382e-01,0.2893,7.723477e-01,False,False,0.436049,67,7.462687e-04
CAD,BMI,-0.004515,0.017549,-0.031767,0.013185,1.2415,2.144074e-01,1.9547,5.062284e-02,False,False,0.436049,67,7.462687e-04
TC,Stroke,0.031708,0.021970,-0.025850,0.045804,1.1330,2.572054e-01,0.8479,3.965097e-01,False,False,0.436049,67,7.462687e-04
BMI,HF,0.524648,0.019899,0.450654,0.073386,0.9731,3.304817e-01,-3.0026,2.677049e-03,False,False,0.436049,67,7.462687e-04
BMI,TG,0.205053,0.020334,0.164341,0.036618,0.9720,3.310526e-01,-1.9887,4.673055e-02,False,False,0.436049,67,7.462687e-04
T2D,TC,-0.002975,0.013414,0.012549,0.009891,-0.9315,3.516169e-01,-1.2050,2.282196e-01,False,False,0.436049,67,7.462687e-04
T2D,LDL,0.001107,0.010707,0.015059,0.010723,-0.9207,3.571949e-01,-1.2463,2.126406e-01,False,False,0.436049,67,7.462687e-04
