edge,exposure,outcome,exp_units_eur,exp_units_eas,out_units,EUR_b,EAS_b,EUR_b_perSD,EAS_b_perSD,EUR_p,EAS_p,dir_concordant,both_sig,comparable,scale_note
T2D->CAD,T2D,CAD,per-log-OR,per-log-OR,log-OR,0.128975010422208,0.0535197053982031,0.129,0.0535,5.3e-09,2.3e-03,True,True,True,
BMI->eGFR,BMI,eGFR,per-SD,per-SD,per-SD,-0.0034423941661755,-0.0716069380134477,-0.0034,-0.0716,6.7e-02,2.5e-02,True,False,True,
SBP->eGFR,SBP,eGFR,per-mmHg,per-SD (INT),per-SD,-0.000158701513050836,0.0571297967190531,-0.0031,0.0571,4.3e-01,5.1e-01,False,False,True,EUR rescaled per-mmHg->per-SD (x19.3)
eGFR->CAD,eGFR,CAD,per-SD (log),per-SD,log-OR,0.0899496014170175,-0.0364344343589157,0.0899,-0.0364,7.1e-01,6.9e-01,False,False,False,
BMI->HbA1c,BMI,HbA1c,per-SD,per-SD,per-SD,0.225059907255927,-0.23378084085272,0.2251,-0.2338,3.2e-29,2.6e-02,False,True,True,
BMI->HDL,BMI,HDL,per-SD,per-SD,per-SD,-0.27517312545267,-0.193464775028893,-0.2752,-0.1935,6.4e-60,1.2e-04,True,True,True,
BMI->LDL,BMI,LDL,per-SD,per-SD,per-SD,-0.0212092096105021,0.00154450620434141,-0.0212,0.0015,3.4e-01,9.7e-01,False,False,True,
BMI->T2D,BMI,T2D,per-SD,per-SD,log-OR,0.990296297660629,-0.153084956572478,0.9903,-0.1531,2.4e-55,5.8e-01,False,False,True,
BMI->TC,BMI,TC,per-SD,per-SD,per-SD,-0.0521557414170524,-0.0225812446572272,-0.0522,-0.0226,1.5e-02,4.8e-01,True,False,True,
BMI->TG,BMI,TG,per-SD,per-SD,per-SD,0.205053241874296,0.164340947269178,0.2051,0.1643,6.5e-24,7.2e-06,True,True,True,
CAD->BMI,CAD,BMI,per-log-OR,per-log-OR,per-SD,-0.00451497374271174,-0.0317666842551182,-0.0045,-0.0318,8.0e-01,1.6e-02,True,False,True,
CAD->eGFR,CAD,eGFR,per-log-OR,per-log-OR,per-SD,-0.000684456512825539,0.00554386408766431,-0.0007,0.0055,6.7e-01,7.3e-01,False,False,True,
CAD->HbA1c,CAD,HbA1c,per-log-OR,per-log-OR,per-SD,0.0311895233873966,0.00230623759216782,0.0312,0.0023,3.3e-02,9.1e-01,True,False,True,
