exposure,outcome,source,magnitude_eligible,sbp_converted,b_eur_used,se_eur_used,b_eas,se_eas,z,p_int,fdr,sign_concordant,family_size,bonferroni_threshold
LDL,HF,network,True,False,0.121469,0.020327,-0.010720,0.047213,2.5716,1.012225e-02,2.511818e-02,,67,7.462687e-04
LDL,Stroke,network,True,False,0.070011,0.022656,-0.052161,0.059754,1.9118,5.590536e-02,1.040461e-01,,67,7.462687e-04
LDL,T2D,network,True,False,-0.007801,0.057545,-0.051241,0.060605,0.5198,6.032061e-01,6.778586e-01,,67,7.462687e-04
LDL,TC,network,True,False,0.908600,0.012666,0.615575,0.048212,5.8784,4.142747e-09,5.551281e-08,,67,7.462687e-04
LDL,TG,network,True,False,0.216913,0.030304,-0.214505,0.119735,3.4930,4.776528e-04,2.588841e-03,,67,7.462687e-04
SBP,BMI,network,True,True,-0.055705,0.029873,0.074422,0.062035,-1.8899,5.876570e-02,1.064136e-01,,67,7.462687e-04
SBP,CAD,network,True,True,0.648137,0.046170,0.527268,0.226072,0.5238,6.003939e-01,6.778586e-01,,67,7.462687e-04
SBP,CKD,zheng_ckd,True,True,0.275990,0.032810,0.097900,0.224000,0.7867,4.314863e-01,5.353626e-01,,67,7.462687e-04
SBP,HDL,network,True,True,-0.020891,0.017666,0.267507,0.156086,-1.8360,6.636215e-02,1.140068e-01,,67,7.462687e-04
SBP,HF,network,True,True,0.383730,0.029986,0.856933,0.132650,-3.4795,5.023124e-04,2.588841e-03,,67,7.462687e-04
SBP,LDL,network,True,True,-0.039150,0.019081,-0.243767,0.071187,2.7764,5.496850e-03,1.717660e-02,,67,7.462687e-04
SBP,Stroke,network,True,True,0.518453,0.034285,0.972974,0.169512,-2.6281,8.585349e-03,2.300873e-02,,67,7.462687e-04
SBP,T2D,network,True,True,0.331332,0.059764,-0.076162,0.101853,3.4506,5.592921e-04,2.676612e-03,,67,7.462687e-04
SBP,TC,network,True,True,-0.028934,0.016835,-0.115269,0.028420,2.6137,8.956980e-03,2.308145e-02,,67,7.462687e-04
SBP,TG,network,True,True,0.035323,0.018842,-0.056001,0.043895,1.9118,5.589866e-02,1.040461e-01,,67,7.462687e-04
T2D,BMI,network,True,False,0.009716,0.017674,-0.097718,0.018834,4.1596,3.188085e-05,2.670021e-04,,67,7.462687e-04
T2D,CAD,network,True,False,0.128975,0.022099,0.053520,0.017531,2.6749,7.474436e-03,2.086613e-02,,67,7.462687e-04
T2D,HDL,network,True,False,-0.071362,0.017008,0.033953,0.012662,-4.9669,6.803574e-07,7.597325e-06,,67,7.462687e-04
T2D,HF,network,True,False,0.052464,0.013106,-0.037125,0.021336,3.5779,3.463989e-04,2.320873e-03,,67,7.462687e-04
T2D,LDL,network,True,False,0.001107,0.010707,0.015059,0.010723,-0.9207,3.571959e-01,4.602332e-01,,67,7.462687e-04
T2D,Stroke,network,True,False,0.080487,0.012863,-0.013349,0.015157,4.7203,2.354544e-06,2.253635e-05,,67,7.462687e-04
T2D,TC,network,True,False,-0.002975,0.013414,0.012549,0.009891,-0.9315,3.515985e-01,4.602332e-01,,67,7.462687e-04
T2D,TG,network,True,False,0.067513,0.023954,-0.018704,0.014507,3.0788,2.078673e-03,8.192418e-03,,67,7.462687e-04
TC,BMI,network,True,False,-0.023094,0.024850,-0.101528,0.025227,2.2150,2.676303e-02,5.977077e-02,,67,7.462687e-04
TC,CAD,network,True,False,0.434009,0.031183,0.581680,0.094921,-1.4780,1.394038e-01,2.046926e-01,,67,7.462687e-04
TC,HDL,network,True,False,0.215228,0.034733,0.511199,0.186753,-1.5581,1.192076e-01,1.857421e-01,,67,7.462687e-04
TC,HF,network,True,False,0.089547,0.020312,-0.028410,0.055511,1.9955,4.598602e-02,9.336556e-02,,67,7.462687e-04
TC,LDL,network,True,False,0.934417,0.013888,0.943096,0.110613,-0.0779,9.379430e-01,9.529899e-01,,67,7.462687e-04
TC,Stroke,network,True,False,0.031708,0.021970,-0.025850,0.045804,1.1330,2.572105e-01,3.590230e-01,,67,7.462687e-04
TC,T2D,network,True,False,-0.040558,0.045452,-0.044975,0.059560,0.0590,9.529899e-01,9.529899e-01,,67,7.462687e-04
TC,TG,network,True,False,0.318252,0.026840,0.110687,0.126992,1.5991,1.097892e-01,1.751399e-01,,67,7.462687e-04
TG,BMI,network,True,False,0.068047,0.042431,-0.061525,0.019186,2.7825,5.394528e-03,1.717660e-02,,67,7.462687e-04
TG,CAD,network,True,False,0.392734,0.030933,0.226176,0.048605,2.8910,3.840694e-03,1.354350e-02,,67,7.462687e-04
TG,HDL,network,True,False,-0.597901,0.035251,-0.469944,0.158069,-0.7901,4.294743e-01,5.353626e-01,,67,7.462687e-04
TG,HF,network,True,False,0.109132,0.023749,0.002257,0.040417,2.2799,2.261584e-02,5.225038e-02,,67,7.462687e-04
TG,LDL,network,True,False,0.276837,0.025492,-0.114809,0.051098,6.8585,6.957990e-12,4.661853e-10,,67,7.462687e-04
TG,Stroke,network,True,False,0.097434,0.024443,0.031133,0.037767,1.4738,1.405352e-01,2.046926e-01,,67,7.462687e-04
TG,T2D,network,True,False,0.594295,0.079944,-0.052872,0.065737,6.2528,4.032452e-10,9.005810e-09,,67,7.462687e-04
TG,TC,network,True,False,0.347041,0.026473,0.123127,0.062158,3.3143,9.188601e-04,4.104242e-03,,67,7.462687e-04
BMI,HbA1c,network,False,False,0.225060,0.020056,-0.233781,0.105051,,,,False,67,7.462687e-04
BMI,eGFR,network,False,False,-0.003442,0.001883,-0.071607,0.032032,,,,True,67,7.462687e-04
CAD,HbA1c,network,False,False,0.031190,0.014596,0.002306,0.019946,,,,True,67,7.462687e-04
CAD,eGFR,network,False,False,-0.000684,0.001618,0.005544,0.016012,,,,False,67,7.462687e-04
HDL,HbA1c,network,False,False,-0.046861,0.016869,-0.044267,0.026703,,,,True,67,7.462687e-04
HDL,eGFR,network,False,False,0.000756,0.002080,0.036258,0.017982,,,,True,67,7.462687e-04
HbA1c,BMI,network,False,False,0.004220,0.032705,-0.303173,0.049393,,,,False,67,7.462687e-04
HbA1c,CAD,network,False,False,0.183767,0.025033,0.066510,0.063492,,,,True,67,7.462687e-04
HbA1c,HDL,network,False,False,-0.014012,0.017502,0.124467,0.037024,,,,False,67,7.462687e-04
HbA1c,HF,network,False,False,0.048153,0.019770,-0.180075,0.056410,,,,False,67,7.462687e-04
HbA1c,LDL,network,False,False,0.130965,0.014341,0.030661,0.035611,,,,True,67,7.462687e-04
HbA1c,Stroke,network,False,False,0.112783,0.022451,-0.030701,0.048898,,,,False,67,7.462687e-04
HbA1c,T2D,network,False,False,1.061020,0.095645,1.512457,0.208511,,,,True,67,7.462687e-04
HbA1c,TC,network,False,False,0.133820,0.014756,0.067508,0.031171,,,,True,67,7.462687e-04
HbA1c,TG,network,False,False,0.068702,0.019225,-0.090683,0.032589,,,,False,67,7.462687e-04
HbA1c,eGFR,network,False,False,-0.000758,0.001830,-0.004355,0.021434,,,,True,67,7.462687e-04
LDL,HbA1c,network,False,False,0.088611,0.033366,0.047046,0.044434,,,,True,67,7.462687e-04
LDL,eGFR,network,False,False,0.007910,0.002098,0.023018,0.032431,,,,True,67,7.462687e-04
SBP,HbA1c,network,False,True,0.010363,0.021575,-0.199828,0.067453,,,,False,67,7.462687e-04
SBP,eGFR,network,False,True,-0.003063,0.003867,0.057130,0.086189,,,,False,67,7.462687e-04
T2D,HbA1c,network,False,False,0.279312,0.014759,0.336509,0.012602,,,,True,67,7.462687e-04
T2D,eGFR,network,False,False,-0.000347,0.001411,0.015674,0.008914,,,,False,67,7.462687e-04
TC,HbA1c,network,False,False,0.089876,0.032339,-0.004938,0.051034,,,,False,67,7.462687e-04
TC,eGFR,network,False,False,0.008675,0.001884,0.064111,0.031518,,,,True,67,7.462687e-04
TG,HbA1c,network,False,False,0.102287,0.025073,-0.047334,0.040371,,,,False,67,7.462687e-04
TG,eGFR,network,False,False,0.002714,0.002461,0.022891,0.028230,,,,True,67,7.462687e-04
eGFR,BMI,network,False,False,-0.518192,0.153478,-0.096820,0.034680,,,,True,67,7.462687e-04
eGFR,CAD,network,False,False,0.089950,0.241363,-0.036434,0.090459,,,,False,67,7.462687e-04
eGFR,HDL,network,False,False,0.117297,0.136235,0.175525,0.065273,,,,True,67,7.462687e-04
eGFR,HF,network,False,False,0.123978,0.164150,0.016155,0.086020,,,,True,67,7.462687e-04
eGFR,HbA1c,network,False,False,-0.199880,0.145531,-0.021050,0.044344,,,,True,67,7.462687e-04
eGFR,LDL,network,False,False,0.252542,0.229066,-0.031286,0.041928,,,,False,67,7.462687e-04
eGFR,Stroke,network,False,False,-0.099494,0.188566,0.155474,0.083796,,,,False,67,7.462687e-04
eGFR,T2D,network,False,False,0.398466,0.337672,0.026921,0.076556,,,,True,67,7.462687e-04
eGFR,TC,network,False,False,0.274306,0.217676,0.028020,0.035679,,,,True,67,7.462687e-04
eGFR,TG,network,False,False,0.011426,0.188704,-0.011257,0.064567,,,,False,67,7.462687e-04
