"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_intercept","egger_intercept_p","wm_b","Q","Q_p","steiger_correct","steiger_p"
"T2D","HDL",56,-0.0172252458123763,0.0132067626964908,0.192139954857785,0.0579120647150567,-0.00697870542265903,0.00521121785373013,-0.00635439510109294,156.011590291149,1.32059043470969e-11,TRUE,8.30723126418285e-129
"T2D","LDL",56,0.0107577641847099,0.00803137536571212,0.180418612820657,-0.0227438557306591,0.00311030734384576,0.0441698289192666,0.011308931550692,66.2771242744559,0.141849231659282,TRUE,9.99885568901524e-195
"T2D","SBP",56,0.0235407534718457,0.00916086423087828,0.0101784031745833,-0.00141441190804665,0.00231577901506021,0.193845911729848,0.0206545126163485,105.338992150384,5.2141411903601e-05,TRUE,6.88413142152549e-198
"T2D","TC",56,0.0073715880761993,0.00877068633218971,0.400639206708098,-0.0183103777453949,0.00238466611521396,0.16174541788754,0.0195397852715356,78.314141022593,0.0211404127475967,TRUE,2.6648808450633e-184
"T2D","TG",56,0.0251986038718967,0.0134294356121285,0.0606043503349005,-0.0321737482087901,0.00532713363080922,0.039078497018388,0.00554299304115796,181.386670843035,2.07136621492879e-15,TRUE,4.77979048917281e-136
"TC","CAD",72,0.337766218876754,0.0479655528353048,1.8970425824178e-12,0.480912992304611,-0.00880550843002912,0.0395130550169624,0.34276512635323,109.568902996308,0.00225444830810583,TRUE,0
"TC","CKD",72,-0.066675884713768,0.0411921050307639,0.105521106797498,-0.089281340300085,0.00137055176996862,0.71770899095031,-0.131455469128769,101.300173117117,0.0105821745216613,TRUE,0
"TC","HF",72,-0.00296967204168489,0.0618152037950844,0.96168346600837,0.138976358873681,-0.00865269971536267,0.124758072427935,-0.073652321753011,98.1358349764782,0.0181841269612605,TRUE,0
"TC","Stroke",72,0.0202317159795112,0.0494116416500757,0.682207681237583,0.0355966505408635,-0.000964009678451804,0.830019748322507,-0.0155681424680611,56.5934442691232,0.893442643122082,TRUE,0
"TC","T2D",72,-0.106232454615365,0.0388104816212156,0.00619626459856432,-0.128210764713124,0.00137986168988845,0.693763303288299,-0.0513009144483312,165.855141276764,1.469394070883e-09,TRUE,0
"TG","CAD",49,0.0762021510286504,0.0415698994238511,0.066786383478489,0.0100166327121071,0.00522955003128597,0.178454273180837,0.0805651652421269,52.6985752291499,0.297256378043484,TRUE,0
"TG","CKD",49,0.061705121991531,0.0386872172516123,0.110717955575226,-0.0516332613132937,0.00893989730166019,0.0113432834690532,0.0156521626602712,57.4365858768935,0.16516736583783,TRUE,0
"TG","HF",49,0.0225607068846157,0.0541463782610269,0.676926076784611,-0.022644326253501,0.00355419838064378,0.480830977149878,0.0413676567145846,38.2963321452549,0.840609552902008,TRUE,0
"TG","Stroke",49,0.0168833654950659,0.0564649811275918,0.764935503368734,0.0149493475194142,0.000151156823198468,0.977275305543168,0.0605460088948713,55.7807698100951,0.205510339157158,TRUE,0
"TG","T2D",49,-0.0255431662251879,0.0572564277779146,0.655511466496345,-0.259772445403778,0.018546438550544,0.00024365490406019,-0.0926123357294147,225.221392241111,9.2394116384362e-25,TRUE,0
